protein_id	locus_tag	gene_length
AQZ89608.1	B4U62_04010	627
AQZ89609.1	B4U62_04015	1863
AQZ89610.1	B4U62_04020	1839
AQZ89611.1	B4U62_04025	654
AQZ89612.1	B4U62_04030	1992
AQZ89613.1	B4U62_04035	2574
AQZ89614.1	B4U62_04040	1509
AQZ89615.1	B4U62_04045	957
AQZ89616.1	B4U62_04050	888
AQZ89617.1	B4U62_04055	1341
AQZ89618.1	B4U62_04060	696
AQZ93018.1	B4U62_04065	378
AQZ89619.1	B4U62_04070	363
AQZ89620.1	B4U62_04075	495
AQZ89621.1	B4U62_04085	168
AQZ89622.1	B4U62_04090	645
AQZ89623.1	B4U62_04095	993
AQZ89624.1	B4U62_04100	504
AQZ89625.1	B4U62_04105	1110
AQZ89626.1	B4U62_04110	1071
AQZ89627.1	B4U62_04115	3186
AQZ93019.1	B4U62_04120	1920
AQZ89628.1	B4U62_04125	765
AQZ89629.2	B4U62_04130	906
AQZ89630.1	B4U62_04135	912
AQZ89631.1	B4U62_04140	1179
AQZ89632.1	B4U62_04145	936
AQZ89633.1	B4U62_04150	1230
AQZ89634.1	B4U62_04155	708
AQZ89635.1	B4U62_04160	1386
AQZ89636.1	B4U62_04165	1458
AQZ89637.1	B4U62_04170	861
AQZ89638.1	B4U62_04175	1890
AQZ89639.1	B4U62_04180	447
AQZ89640.1	B4U62_04185	423
AQZ89641.1	B4U62_04190	1191
AQZ89642.1	B4U62_04195	213
AQZ89643.1	B4U62_04200	156
AQZ89644.1	B4U62_04205	1557
AQZ89645.1	B4U62_04210	1131
AQZ89646.1	B4U62_04215	447
AQZ89647.1	B4U62_04220	1020
AQZ89648.1	B4U62_04225	234
AQZ89649.1	B4U62_04230	1221
AQZ89650.1	B4U62_04235	1464
AQZ89651.1	B4U62_04240	801
AQZ89652.1	B4U62_04245	1002
AQZ89653.1	B4U62_04250	1002
AQZ89654.1	B4U62_04255	948
AQZ89655.1	B4U62_04260	369
AQZ89656.1	B4U62_04265	168
AQZ89657.1	B4U62_04270	348
AQZ89658.1	B4U62_04275	1263
AQZ89659.1	B4U62_04280	1437
AQZ89660.1	B4U62_04285	1629
AQZ89661.1	B4U62_04290	681
AQZ89662.1	B4U62_04295	960
AQZ89663.1	B4U62_04300	1302
AQZ89664.1	B4U62_04305	795
AQZ89665.1	B4U62_04310	1092
AQZ89666.1	B4U62_04315	276
AQZ89667.1	B4U62_04320	666
AQZ89668.1	B4U62_04325	138
AQZ89669.1	B4U62_04330	156
AQZ89670.1	B4U62_04335	315
AQZ89671.1	B4U62_04340	750
AQZ89672.1	B4U62_04345	1359
AQZ89673.1	B4U62_04350	1950
AQZ89674.1	B4U62_04355	138
AQZ89675.1	B4U62_04360	393
AQZ89676.1	B4U62_04365	1416
AQZ89677.1	B4U62_04370	1077
AQZ89678.1	B4U62_04375	201
AQZ89679.1	B4U62_04380	1155
AQZ89680.1	B4U62_04385	1542
AQZ89681.1	B4U62_04390	1413
AQZ89682.1	B4U62_04395	1686
AQZ89683.1	B4U62_04400	717
AQZ89684.1	B4U62_04405	666
AQZ89685.1	B4U62_04410	4389
AQZ89686.1	B4U62_04415	519
AQZ89687.1	B4U62_04420	1191
AQZ89688.1	B4U62_04425	216
AQZ89689.1	B4U62_04430	471
AQZ89690.1	B4U62_04435	321
AQZ89691.1	B4U62_04440	828
AQZ89692.1	B4U62_04445	1176
AQZ89693.1	B4U62_04450	1056
AQZ89694.1	B4U62_04455	795
AQZ89695.1	B4U62_04460	843
AQZ89696.1	B4U62_04465	1122
AQZ89697.1	B4U62_04470	186
AQZ89698.1	B4U62_04475	792
AQZ89699.1	B4U62_04480	861
AQZ89700.1	B4U62_04485	960
AQZ89701.1	B4U62_04490	864
AQZ89702.1	B4U62_04495	1401
AQZ89703.1	B4U62_04500	267
AQZ89704.1	B4U62_04505	978
AQZ89705.1	B4U62_04510	453
AQZ89706.1	B4U62_04515	690
AQZ89707.1	B4U62_04520	1002
AQZ89708.1	B4U62_04525	1029
AQZ89709.1	B4U62_04530	1197
AQZ89710.1	B4U62_04540	1818
AQZ89711.1	B4U62_04545	180
AQZ89712.1	B4U62_04550	330
AQZ93020.1	B4U62_04555	459
AQZ89713.1	B4U62_04560	558
AQZ89714.1	B4U62_04565	768
AQZ89715.1	B4U62_04570	1224
AQZ89716.1	B4U62_04575	315
AQZ89717.1	B4U62_04580	1350
AQZ89718.1	B4U62_04585	765
AQZ89719.1	B4U62_04590	1584
AQZ89720.1	B4U62_04595	1722
AQZ89721.1	B4U62_04600	1815
AQZ89722.1	B4U62_04605	405
AQZ89723.1	B4U62_04610	858
AQZ89724.1	B4U62_04615	945
AQZ89725.1	B4U62_04620	1449
AQZ89726.1	B4U62_04625	942
AQZ89727.1	B4U62_04630	1182
AQZ89728.1	B4U62_04635	1203
AQZ89729.1	B4U62_04640	663
AQZ89730.1	B4U62_04645	936
AQZ89731.1	B4U62_04650	1191
AQZ89732.1	B4U62_04655	1158
AQZ89733.1	B4U62_04660	549
AQZ89734.1	B4U62_04665	633
AQZ89735.1	B4U62_04670	1089
AQZ89736.1	B4U62_04675	618
AQZ89737.1	B4U62_04680	1254
AQZ89738.1	B4U62_04685	537
AQZ89739.1	B4U62_04690	1557
AQZ89740.1	B4U62_04695	483
AQZ89741.1	B4U62_04700	2571
AQZ89742.1	B4U62_04705	978
AQZ89743.1	B4U62_04710	1002
AQZ89744.1	B4U62_04715	1032
AQZ89745.1	B4U62_04720	882
AQZ89746.1	B4U62_04725	585
AQZ89747.1	B4U62_04730	192
AQZ89748.1	B4U62_04735	111
AQZ89749.1	B4U62_04740	912
AQZ89750.1	B4U62_04745	795
AQZ89751.1	B4U62_04750	315
AQZ89752.1	B4U62_04755	1194
AQZ89753.1	B4U62_04760	153
AQZ89754.1	B4U62_04765	270
AQZ89755.1	B4U62_04770	519
AQZ89756.1	B4U62_04775	333
AQZ89757.1	B4U62_04780	861
AQZ89758.1	B4U62_04785	990
AQZ89759.1	B4U62_04790	2586
AQZ89760.1	B4U62_04795	984
AQZ89761.1	B4U62_04800	1110
AQZ89762.1	B4U62_04805	225
AQZ89763.1	B4U62_04810	753
AQZ89764.1	B4U62_04815	255
AQZ89765.1	B4U62_04820	345
AQZ89766.1	B4U62_04825	531
AQZ89767.1	B4U62_04830	1770
AQZ89768.1	B4U62_04835	1062
AQZ89769.1	B4U62_04840	1290
AQZ89770.1	B4U62_04845	474
AQZ89771.1	B4U62_04850	438
AQZ89772.1	B4U62_04855	354
AQZ89773.1	B4U62_04860	885
AQZ89774.1	B4U62_04960	777
AQZ89775.1	B4U62_04965	204
AQZ89776.1	B4U62_04970	273
AQZ89777.1	B4U62_04975	693
AQZ89778.1	B4U62_04980	1773
AQZ89779.1	B4U62_04985	1356
AQZ89780.1	B4U62_04990	219
AQZ89781.1	B4U62_04995	1452
AQZ93021.1	B4U62_05000	768
AQZ89782.1	B4U62_05005	999
AQZ89783.1	B4U62_05010	831
AQZ89784.1	B4U62_05015	1131
AQZ93022.1	B4U62_05020	537
AQZ89785.1	B4U62_05025	270
AQZ89786.1	B4U62_05030	474
AQZ93023.1	B4U62_05035	201
AQZ89787.1	B4U62_05045	624
AQZ89788.1	B4U62_05050	1161
AQZ89789.1	B4U62_05055	936
AQZ89790.1	B4U62_05060	483
AQZ89791.1	B4U62_05065	717
AQZ89792.1	B4U62_05070	714
AQZ89793.1	B4U62_05075	708
AQZ89794.1	B4U62_05080	1896
AQZ89795.1	B4U62_05085	1179
AQZ89796.1	B4U62_05090	465
AQZ89797.1	B4U62_05095	666
AQZ89798.1	B4U62_05100	1599
AQZ89799.1	B4U62_05105	531
AQZ89800.1	B4U62_05110	375
AQZ89801.1	B4U62_05115	156
AQZ89802.1	B4U62_05120	762
AQZ89803.1	B4U62_05125	366
AQZ89804.1	B4U62_05130	699
AQZ89805.1	B4U62_05135	918
AQZ89806.1	B4U62_05140	942
AQZ89807.1	B4U62_05145	204
AQZ89808.1	B4U62_05150	207
AQZ89809.1	B4U62_05155	831
AQZ89810.1	B4U62_05160	1080
AQZ89811.1	B4U62_05165	1392
AQZ89812.1	B4U62_05170	456
AQZ89813.1	B4U62_05175	570
AQZ89814.1	B4U62_05180	969
AQZ89815.1	B4U62_05185	654
AQZ89816.1	B4U62_05190	3654
AQZ89817.1	B4U62_05195	597
AQZ89818.1	B4U62_05200	909
AQZ89819.1	B4U62_05205	396
AQZ89820.1	B4U62_05210	423
AQZ89821.1	B4U62_05215	663
AQZ89822.1	B4U62_05220	1542
AQZ89823.1	B4U62_05225	1353
AQZ89824.1	B4U62_05230	579
AQZ89825.1	B4U62_05235	825
AQZ89826.1	B4U62_05240	1491
AQZ89827.1	B4U62_05245	1668
AQZ89828.1	B4U62_05250	1746
AQZ89829.1	B4U62_05255	1140
AQZ89830.1	B4U62_05260	645
AQZ89831.1	B4U62_05265	525
AQZ89832.1	B4U62_05270	243
AQZ89833.1	B4U62_05275	324
AQZ89834.1	B4U62_05280	1467
AQZ89835.1	B4U62_05285	441
AQZ89836.1	B4U62_05290	1659
AQZ89837.1	B4U62_05295	1407
AQZ89838.1	B4U62_05300	1386
AQZ89839.1	B4U62_05305	1005
AQZ89840.1	B4U62_05310	876
AQZ89841.1	B4U62_05315	1101
AQZ89842.1	B4U62_05320	870
AQZ89843.1	B4U62_05325	1398
AQZ89844.1	B4U62_05330	1356
AQZ89845.1	B4U62_05335	1410
AQZ89846.1	B4U62_05340	429
AQZ89847.1	B4U62_05345	291
AQZ89848.1	B4U62_05350	1077
AQZ89849.1	B4U62_05355	492
AQZ89850.1	B4U62_05360	996
AQZ89851.1	B4U62_05365	600
AQZ89852.1	B4U62_05370	1335
AQZ93024.1	B4U62_05375	432
AQZ89853.1	B4U62_05380	1182
AQZ89854.1	B4U62_05385	1386
AQZ89855.1	B4U62_05390	357
AQZ89856.1	B4U62_05395	396
AQZ89857.1	B4U62_05400	732
AQZ89858.1	B4U62_05405	108
AQZ89859.1	B4U62_05410	1116
AQZ89860.1	B4U62_05415	744
AQZ89861.1	B4U62_05420	849
AQZ89862.1	B4U62_05425	849
AQZ89863.1	B4U62_05430	1362
AQZ89864.1	B4U62_05435	501
AQZ89865.1	B4U62_05440	162
AQZ89866.1	B4U62_05445	1758
AQZ89867.1	B4U62_05455	621
AQZ89868.1	B4U62_05460	126
AQZ89869.1	B4U62_05465	204
AQZ89870.1	B4U62_05470	219
AQZ89871.1	B4U62_05475	1362
AQZ89872.1	B4U62_05480	1092
AQZ89873.1	B4U62_05485	1134
AQZ89874.1	B4U62_05490	354
AQZ89875.1	B4U62_05495	1074
AQZ89876.1	B4U62_05500	867
AQZ89877.1	B4U62_05505	1506
AQZ89878.1	B4U62_05510	1218
AQZ89879.1	B4U62_05515	498
AQZ89880.1	B4U62_05520	339
AQZ89881.1	B4U62_05525	768
AQZ89882.1	B4U62_05530	186
AQZ89883.1	B4U62_05535	897
AQZ89884.1	B4U62_05540	1260
AQZ89885.1	B4U62_05545	1227
AQZ93025.1	B4U62_05550	2892
AQZ89886.1	B4U62_05555	945
AQZ89887.1	B4U62_05560	213
AQZ89888.1	B4U62_05565	879
AQZ89889.1	B4U62_05570	87
AQZ89890.1	B4U62_05575	87
AQZ89891.1	B4U62_05580	183
AQZ89892.1	B4U62_05585	519
AQZ89893.1	B4U62_05590	342
AQZ89894.1	B4U62_05595	612
AQZ93026.1	B4U62_05600	357
AQZ89895.1	B4U62_05605	192
AQZ89896.1	B4U62_05610	519
AQZ89897.1	B4U62_05615	1080
AQZ89898.1	B4U62_05620	438
AQZ89899.1	B4U62_05625	744
AQZ89900.1	B4U62_05630	1227
AQZ89901.1	B4U62_05635	711
AQZ89902.1	B4U62_05640	1191
AQZ89903.1	B4U62_05645	1392
AQZ89904.1	B4U62_05650	264
AQZ89905.1	B4U62_05655	501
AQZ89906.1	B4U62_05660	2145
AQZ89907.1	B4U62_05665	1062
AQZ89908.1	B4U62_05670	933
AQZ89909.1	B4U62_05675	1413
AQZ89910.1	B4U62_05680	576
AQZ89911.1	B4U62_05685	2328
AQZ89912.1	B4U62_05690	978
AQZ89913.1	B4U62_05695	777
AQZ89914.1	B4U62_05700	192
AQZ89915.1	B4U62_05705	1041
AQZ89916.1	B4U62_05710	408
AQZ89917.1	B4U62_05715	1290
AQZ89918.1	B4U62_05720	141
AQZ89919.1	B4U62_05725	735
AQZ89920.1	B4U62_05730	996
AQZ89921.1	B4U62_05735	645
AQZ89922.1	B4U62_05740	1542
AQZ89923.1	B4U62_05745	396
AQZ89924.1	B4U62_05750	1281
AQZ89925.1	B4U62_05755	1146
AQZ89926.1	B4U62_05760	450
AQZ89927.1	B4U62_05765	993
AQZ89928.1	B4U62_05770	972
AQZ89929.1	B4U62_05775	582
AQZ89930.1	B4U62_05780	1095
AQZ89931.1	B4U62_05785	1440
AQZ89932.1	B4U62_05790	561
AQZ89933.1	B4U62_05795	1299
AQZ89934.1	B4U62_05800	1530
AQZ89935.1	B4U62_05805	858
AQZ89936.1	B4U62_05810	234
AQZ89937.1	B4U62_05815	579
AQZ89938.1	B4U62_05820	900
AQZ89939.1	B4U62_05825	270
AQZ89940.1	B4U62_05830	1470
AQZ89941.1	B4U62_05835	201
AQZ89942.1	B4U62_05840	363
AQZ89943.1	B4U62_05845	624
AQZ89944.1	B4U62_05850	507
AQZ89945.1	B4U62_05855	1500
AQZ89946.1	B4U62_05860	528
AQZ89947.1	B4U62_05865	1206
AQZ89948.1	B4U62_05870	1053
AQZ89949.1	B4U62_05875	849
AQZ89950.1	B4U62_05880	1326
AQZ89951.1	B4U62_05885	990
AQZ89952.1	B4U62_05890	1155
AQZ89953.1	B4U62_05895	1206
AQZ89954.1	B4U62_05900	1728
AQZ89955.1	B4U62_05905	327
AQZ89956.1	B4U62_05910	438
AQZ89957.1	B4U62_05915	3501
AQZ89958.1	B4U62_05920	3699
AQZ89959.1	B4U62_05925	1176
AQZ89960.1	B4U62_05930	3393
AQZ89961.1	B4U62_05935	303
AQZ89962.2	B4U62_05940	228
AQZ89963.1	B4U62_05945	402
AQZ89964.1	B4U62_05950	177
AQZ89965.1	B4U62_05955	618
AQZ89966.1	B4U62_05960	243
AQZ89967.1	B4U62_05965	222
AQZ89968.1	B4U62_05970	171
AQZ89969.1	B4U62_05975	924
AQZ89970.1	B4U62_05980	906
AQZ89971.1	B4U62_05985	357
AQZ89972.1	B4U62_05990	2685
AQZ93027.1	B4U62_05995	588
AQZ89973.1	B4U62_06000	1845
AQZ89974.1	B4U62_06005	480
AQZ89975.1	B4U62_06010	825
AQZ89976.1	B4U62_06015	1368
AQZ89977.1	B4U62_06020	864
AQZ89978.1	B4U62_06025	1014
AQZ89979.1	B4U62_06030	1029
AQZ93028.1	B4U62_06035	510
AQZ89980.1	B4U62_06040	663
AQZ89981.1	B4U62_06045	1455
AQZ89982.1	B4U62_06050	639
AQZ89983.1	B4U62_06055	807
AQZ89984.1	B4U62_06060	600
AQZ89985.1	B4U62_06065	1170
AQZ89986.1	B4U62_06070	711
AQZ89987.1	B4U62_06075	687
AQZ89988.1	B4U62_06080	759
AQZ89989.1	B4U62_06085	630
AQZ89990.1	B4U62_06090	1116
AQZ89991.1	B4U62_06095	1269
AQZ89992.1	B4U62_06100	849
AQZ89993.1	B4U62_06105	465
AQZ89994.1	B4U62_06110	1839
AQZ89995.1	B4U62_06115	492
AQZ89996.1	B4U62_06120	897
AQZ89997.1	B4U62_06125	585
AQZ89998.1	B4U62_06130	930
AQZ89999.1	B4U62_06135	537
AQZ90000.1	B4U62_06140	348
AQZ90001.1	B4U62_06145	588
AQZ90002.1	B4U62_06150	294
AQZ90003.1	B4U62_06155	1617
AQZ90004.1	B4U62_06160	846
AQZ90005.1	B4U62_06165	843
AQZ93029.1	B4U62_06170	360
AQZ90006.1	B4U62_06175	198
AQZ90007.1	B4U62_06180	813
AQZ90008.1	B4U62_06185	768
AQZ90009.1	B4U62_06190	309
AQZ90010.1	B4U62_06195	171
AQZ90011.1	B4U62_06200	1431
AQZ93030.1	B4U62_06205	495
AQZ90012.1	B4U62_06210	1038
AQZ90013.1	B4U62_06215	1221
AQZ90014.1	B4U62_06220	777
AQZ90015.1	B4U62_06225	1158
AQZ90016.1	B4U62_06230	1062
AQZ90017.1	B4U62_06235	3093
AQZ90018.1	B4U62_06240	960
AQZ90019.1	B4U62_06245	180
AQZ90020.1	B4U62_06250	186
AQZ90021.1	B4U62_06255	735
AQZ90022.1	B4U62_06260	558
AQZ90023.1	B4U62_06265	954
AQZ90024.1	B4U62_06270	192
AQZ90025.1	B4U62_06275	240
AQZ90026.1	B4U62_06280	939
AQZ90027.1	B4U62_06285	1242
AQZ90028.1	B4U62_06290	786
AQZ90029.1	B4U62_06295	987
AQZ90030.1	B4U62_06300	990
AQZ90031.1	B4U62_06305	1632
AQZ90032.1	B4U62_06310	951
AQZ90033.1	B4U62_06315	912
AQZ90034.1	B4U62_06320	753
AQZ93031.1	B4U62_06325	993
AQZ90035.1	B4U62_06330	1638
AQZ90036.1	B4U62_06335	936
AQZ90037.1	B4U62_06340	918
AQZ90038.1	B4U62_06345	1077
AQZ90039.1	B4U62_06350	918
AQZ90040.1	B4U62_06355	1218
AQZ90041.1	B4U62_06360	579
AQZ90042.1	B4U62_06365	396
AQZ90043.1	B4U62_06370	657
AQZ90044.1	B4U62_06375	657
AQZ90045.2	B4U62_06380	1122
AQZ90046.1	B4U62_06385	2013
AQZ90047.1	B4U62_06390	168
AQZ90048.1	B4U62_06395	204
AQZ90049.1	B4U62_06400	900
AQZ90050.1	B4U62_06405	399
AQZ93032.1	B4U62_06410	546
AQZ90051.1	B4U62_06415	573
AQZ90052.1	B4U62_06420	369
AQZ90053.1	B4U62_06425	636
AQZ90054.1	B4U62_06430	801
AQZ93033.1	B4U62_06435	852
AQZ90055.1	B4U62_06440	735
AQZ90056.1	B4U62_06445	1845
AQZ90057.1	B4U62_06450	711
AQZ90058.1	B4U62_06455	618
AQZ90059.1	B4U62_06460	1110
AQZ93034.1	B4U62_06465	201
AQZ90060.1	B4U62_06470	771
AQZ90061.1	B4U62_06475	1011
AQZ90062.1	B4U62_06480	816
AQZ90063.1	B4U62_06485	777
AQZ90064.1	B4U62_06490	684
AQZ90065.1	B4U62_06495	447
AQZ90066.1	B4U62_06500	489
AQZ90067.1	B4U62_06505	519
AQZ90068.1	B4U62_06510	318
AQZ90069.1	B4U62_06515	387
AQZ90070.1	B4U62_06520	357
AQZ90071.1	B4U62_06525	207
AQZ90072.1	B4U62_06530	150
AQZ90073.1	B4U62_06535	255
AQZ93035.1	B4U62_06540	2154
AQZ90074.1	B4U62_06545	255
AQZ90075.1	B4U62_06550	423
AQZ90076.1	B4U62_06555	516
AQZ90077.1	B4U62_06560	723
AQZ93036.1	B4U62_06565	1122
AQZ90078.1	B4U62_06570	1173
AQZ90079.1	B4U62_06575	546
AQZ90080.1	B4U62_06580	1191
AQZ90081.1	B4U62_06595	1230
AQZ90082.1	B4U62_06600	321
AQZ90083.1	B4U62_06605	132
AQZ90084.1	B4U62_06610	174
AQZ90085.1	B4U62_06615	462
AQZ90086.1	B4U62_06620	504
AQZ90087.1	B4U62_06625	285
AQZ90088.1	B4U62_06630	528
AQZ90089.1	B4U62_06635	318
AQZ90090.1	B4U62_06640	756
AQZ90091.1	B4U62_06645	348
AQZ90092.1	B4U62_06650	1947
AQZ90093.1	B4U62_06660	948
AQZ90094.1	B4U62_06665	483
AQZ90095.1	B4U62_06670	507
AQZ90096.1	B4U62_06675	396
AQZ90097.1	B4U62_06680	480
AQZ90098.1	B4U62_06685	195
AQZ90099.1	B4U62_06690	330
AQZ90100.1	B4U62_06695	195
AQZ93037.1	B4U62_06700	990
AQZ90101.1	B4U62_06705	324
AQZ90102.1	B4U62_06710	1404
AQZ90103.1	B4U62_06715	474
AQZ90104.1	B4U62_06720	168
AQZ90105.1	B4U62_06725	900
AQZ90106.1	B4U62_06730	399
AQZ90107.1	B4U62_06735	576
AQZ90108.1	B4U62_06740	2958
AQZ90109.1	B4U62_06745	561
AQZ90110.1	B4U62_06750	642
AQZ90111.1	B4U62_06755	627
AQZ90112.1	B4U62_06760	279
AQZ90113.1	B4U62_06765	1191
AQZ90114.1	B4U62_06770	1179
AQZ90115.1	B4U62_06775	189
AQZ90116.1	B4U62_06780	813
AQZ90117.1	B4U62_06785	753
AQZ90118.1	B4U62_06790	753
AQZ90119.1	B4U62_06795	975
AQZ90120.1	B4U62_06800	498
AQZ90121.1	B4U62_06805	423
AQZ90122.1	B4U62_06810	1179
AQZ93038.1	B4U62_06815	1422
AQZ90123.1	B4U62_06820	1380
AQZ90124.1	B4U62_06825	1014
AQZ90125.1	B4U62_06830	1020
AQZ90126.1	B4U62_06835	1080
AQZ90127.1	B4U62_06840	837
AQZ90128.1	B4U62_06845	1269
AQZ90129.1	B4U62_06850	1002
AQZ90130.1	B4U62_06860	1494
AQZ90131.1	B4U62_06865	765
AQZ90132.1	B4U62_06870	465
AQZ90133.1	B4U62_06875	1272
AQZ90134.1	B4U62_06880	1137
AQZ90135.1	B4U62_06885	135
AQZ90136.1	B4U62_06890	258
AQZ90137.1	B4U62_06895	954
AQZ90138.1	B4U62_06900	378
AQZ90139.1	B4U62_06905	603
AQZ90140.1	B4U62_06910	837
AQZ90141.1	B4U62_06915	597
AQZ90142.1	B4U62_06920	342
AQZ90143.1	B4U62_06925	180
AQZ90144.1	B4U62_06930	837
AQZ90145.1	B4U62_06935	801
AQZ90146.1	B4U62_06940	168
AQZ90147.1	B4U62_06945	351
AQZ90148.1	B4U62_06950	207
AQZ90149.1	B4U62_06955	510
AQZ90150.1	B4U62_06960	798
AQZ90151.1	B4U62_06965	1302
AQZ90152.1	B4U62_06975	828
AQZ90153.1	B4U62_06980	936
AQZ90154.1	B4U62_06985	384
AQZ90155.1	B4U62_06990	357
AQZ90156.1	B4U62_06995	486
AQZ90157.1	B4U62_07000	441
AQZ90158.1	B4U62_07005	219
AQZ90159.1	B4U62_07010	1401
AQZ90160.1	B4U62_07015	444
AQZ90161.1	B4U62_07020	447
AQZ90162.1	B4U62_07025	150
AQZ90163.1	B4U62_07030	3999
AQZ90164.1	B4U62_07035	660
AQZ90165.1	B4U62_07040	978
AQZ90166.1	B4U62_07045	267
AQZ90167.1	B4U62_07050	426
AQZ90168.1	B4U62_07055	1047
AQZ90169.1	B4U62_07060	579
AQZ90170.1	B4U62_07065	273
AQZ90171.1	B4U62_07070	2064
AQZ90172.1	B4U62_07075	330
AQZ90173.1	B4U62_07080	165
AQZ90174.1	B4U62_07085	840
AQZ90175.1	B4U62_07090	270
AQZ90176.1	B4U62_07095	264
AQZ90177.1	B4U62_07100	894
AQZ90178.1	B4U62_07105	171
AQZ90179.1	B4U62_07110	747
AQZ90180.1	B4U62_07115	1002
AQZ90181.1	B4U62_07120	618
AQZ90182.1	B4U62_07125	1317
AQZ90183.1	B4U62_07130	951
AQZ90184.1	B4U62_07135	2151
AQZ90185.1	B4U62_07140	972
AQZ90186.1	B4U62_07145	1350
AQZ90187.1	B4U62_07150	819
AQZ90188.1	B4U62_07155	825
AQZ90189.1	B4U62_07160	927
AQZ90190.1	B4U62_07165	963
AQZ90191.1	B4U62_07170	1008
AQZ93039.1	B4U62_07175	1650
AQZ90192.1	B4U62_07180	960
AQZ90193.1	B4U62_07185	1101
AQZ90194.1	B4U62_07190	891
AQZ90195.1	B4U62_07195	990
AQZ90196.1	B4U62_07200	1050
AQZ90197.1	B4U62_07205	861
AQZ93040.1	B4U62_07210	519
AQZ90198.1	B4U62_07215	1200
AQZ90199.1	B4U62_07220	225
AQZ90200.1	B4U62_07225	732
AQZ90201.1	B4U62_07230	528
AQZ90202.1	B4U62_07235	519
AQZ90203.1	B4U62_07240	339
AQZ90204.1	B4U62_07245	318
AQZ90205.1	B4U62_07250	903
AQZ90206.1	B4U62_07255	1098
AQZ90207.1	B4U62_07260	1248
AQZ90208.1	B4U62_07265	426
AQZ90209.1	B4U62_07270	444
AQZ90210.1	B4U62_07275	411
AQZ93041.1	B4U62_07280	171
AQZ90211.1	B4U62_07285	471
AQZ90212.1	B4U62_07290	2289
AQZ90213.1	B4U62_07295	960
AQZ90214.1	B4U62_07300	834
AQZ90215.1	B4U62_07305	765
AQZ90216.1	B4U62_07310	1644
AQZ90217.1	B4U62_07315	600
AQZ90218.1	B4U62_07320	603
AQZ90219.1	B4U62_07325	687
AQZ90220.1	B4U62_07330	1365
AQZ90221.1	B4U62_07335	681
AQZ90222.1	B4U62_07340	513
AQZ90223.1	B4U62_07345	138
AQZ90224.1	B4U62_07350	180
AQZ90225.1	B4U62_07355	1356
AQZ90226.1	B4U62_07360	333
AQZ90227.1	B4U62_07365	156
AQZ90228.1	B4U62_07370	183
AQZ90229.1	B4U62_07375	465
AQZ90230.1	B4U62_07380	1122
AQZ93042.1	B4U62_07385	552
AQZ90231.1	B4U62_07390	813
AQZ90232.1	B4U62_07395	1695
AQZ90233.1	B4U62_07400	1014
AQZ90234.1	B4U62_07405	1836
AQZ90235.1	B4U62_07410	936
AQZ93043.1	B4U62_07415	2250
AQZ90236.1	B4U62_07420	666
AQZ90237.1	B4U62_07425	975
AQZ90238.1	B4U62_07430	756
AQZ90239.1	B4U62_07435	1146
AQZ90240.1	B4U62_07440	195
AQZ90241.1	B4U62_07445	702
AQZ90242.1	B4U62_07450	897
AQZ90243.1	B4U62_07455	1350
AQZ90244.1	B4U62_07460	156
AQZ90245.1	B4U62_07465	177
AQZ90246.1	B4U62_07470	1023
AQZ90247.1	B4U62_07475	2217
AQZ90248.1	B4U62_07480	498
AQZ90249.1	B4U62_07485	1062
AQZ93044.1	B4U62_07490	1200
AQZ90250.1	B4U62_07495	780
AQZ90251.1	B4U62_07500	1197
AQZ90252.1	B4U62_07505	1245
AQZ90253.1	B4U62_07510	708
AQZ90254.1	B4U62_07515	630
AQZ90255.1	B4U62_07520	537
AQZ90256.1	B4U62_07525	321
AQZ90257.1	B4U62_07530	258
AQZ90258.1	B4U62_07535	432
AQZ90259.1	B4U62_07540	1521
AQZ90260.1	B4U62_07545	438
AQZ90261.1	B4U62_07550	786
AQZ90262.1	B4U62_07555	813
AQZ90263.1	B4U62_07560	2100
AQZ90264.1	B4U62_07565	1044
AQZ90265.1	B4U62_07570	660
AQZ90266.1	B4U62_07575	450
AQZ90267.1	B4U62_07580	732
AQZ90268.1	B4U62_07585	498
AQZ90269.1	B4U62_07590	357
AQZ90270.1	B4U62_07595	747
AQZ90271.1	B4U62_07600	1200
AQZ90272.1	B4U62_07605	228
AQZ90273.1	B4U62_07610	699
AQZ93045.1	B4U62_07615	252
AQZ90274.1	B4U62_07620	291
AQZ90275.1	B4U62_07625	186
AQZ90276.1	B4U62_07630	195
AQZ90277.1	B4U62_07635	627
AQZ90278.1	B4U62_07640	1338
AQZ90279.1	B4U62_07645	498
AQZ90280.1	B4U62_07650	1914
AQZ90281.1	B4U62_07655	204
AQZ90282.1	B4U62_07660	1092
AQZ90283.1	B4U62_07665	966
AQZ90284.1	B4U62_07670	867
AQZ90285.1	B4U62_07675	2100
AQZ90286.1	B4U62_07680	267
AQZ90287.1	B4U62_07685	1713
AQZ90288.1	B4U62_07690	240
AQZ90289.1	B4U62_07695	1029
AQZ90290.1	B4U62_07700	681
AQZ90291.1	B4U62_07705	1968
AQZ90292.1	B4U62_07710	867
AQZ90293.1	B4U62_07715	774
AQZ93046.1	B4U62_07720	2058
AQZ90294.1	B4U62_07725	1821
AQZ90295.1	B4U62_07730	1182
AQZ90296.1	B4U62_07735	162
AQZ90297.1	B4U62_07740	912
AQZ90298.1	B4U62_07745	465
AQZ90299.1	B4U62_07750	1293
AQZ93047.1	B4U62_07755	495
AQZ90300.1	B4U62_07760	861
