LC	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Coping with stress#Resistance against other toxic compounds (nitric oxide, phenolic acids, flavonoids, oxalate)	6	1129	18	8186	0.028846204172829952	0.19942342484816442	1.65
Information processing#RNA synthesis and degradation#RNA chaperones	3	1129	6	8186	0.03785557054684789	0.24600063510430065	2.65
Information processing#Protein synthesis, modification and degradation#Chaperones/ protein folding	4	1129	12	8186	0.07148476811658937	0.4095563786569236	1.65
Metabolism#Additional metabolic pathways#Biosynthesis of cofactors	21	1129	116	8186	0.1134059507583979	0.5700223854276961	0.47
Groups of genes#NcRNA#Small RNAs with unknown functions	1	1129	1	8186	0.13791839726277075	0.6288112987356316	nan
Groups of genes#Phosphoproteins#Phosphorylation on a Thr residue	6	1129	26	8186	0.13859318888782127	0.6288112987356316	0.91
Information processing#Regulation of gene expression#Other regulators	1	1129	1	8186	0.13791839726277075	0.6288112987356316	nan
Lifestyles#Coping with stress#Coping with hypo-osmotic stress	2	1129	5	8186	0.1429258145438248	0.63611188704698	2.06
Metabolism#Electron transport and ATP synthesis#Regulators of electron transport	2	1129	5	8186	0.1429258145438248	0.63611188704698	2.06
Lifestyles#Coping with stress#Heat shock proteins	6	1129	27	8186	0.15865033967438366	0.6770386923552916	0.84
Cellular processes#Cell envelope and cell division#Cell wall degradation/ turnover	8	1129	39	8186	0.1603575487184374	0.6787378694735493	0.69
Cellular processes#Cell envelope and cell division#Membrane dynamics	2	1129	6	8186	0.19546093654240443	0.7239035399802621	1.65
Cellular processes#Transporters#Transporters/ other	28	1129	174	8186	0.21516504598908504	0.7462413133467598	0.27
Lifestyles#Coping with stress#Resistance against toxins/ antibiotics/ based on similarity	8	1129	42	8186	0.2149916413125009	0.7462413133467598	0.56
Cellular processes#Transporters#ECF transporter	3	1129	12	8186	0.22331442389411954	0.7655997020303856	1.06
Lifestyles#Coping with stress#Toxins, antitoxins and immunity against toxins/ based on similarity	4	1129	18	8186	0.22958047404464818	0.7780227175957521	0.84
Prophages and mobile genetic elements#Prophages#Phage-related functions	1	1129	2	8186	0.256829836422289	0.8169709827297966	2.65
Metabolism#Additional metabolic pathways#Miscellaneous metabolic pathways	13	1129	77	8186	0.25839121529004583	0.8194241292225612	0.35
Groups of genes#Phosphoproteins#Phosphorylation on a Tyr residue	4	1129	20	8186	0.29413115220969016	0.8997463269659254	0.65
Groups of genes#Phosphoproteins#Phosphorylation on a Ser residue	11	1129	67	8186	0.31507495937780516	0.9299441396515424	0.30
Metabolism#Amino acid/ nitrogen metabolism#Utilization of nitrogen sources other than amino acids	9	1129	54	8186	0.32442581047812125	0.945026869285988	0.32
Groups of genes#Universally conserved proteins	5	1129	28	8186	0.3416214954754526	0.9808185789541924	0.44
Cellular processes#Cell envelope and cell division#Capsule biosynthesis and degradation	1	1129	10	8186	0.7734826310773748	1.0	-0.53
Cellular processes#Cell envelope and cell division#Cell shape	1	1129	11	8186	0.8047617540594226	1.0	-0.68
Cellular processes#Cell envelope and cell division#Cell wall synthesis	11	1129	97	8186	0.8004797618365536	1.0	-0.33
Cellular processes#Cell envelope and cell division#Cell wall/ other	2	1129	21	8186	0.8071891945052717	1.0	-0.61
Cellular processes#Cell envelope and cell division#Cell wall/ other/ based on similarity	1	1129	6	8186	0.5896420168177464	1.0	0.32
Cellular processes#Transporters#ABC transporters	26	1129	196	8186	0.6176107602174542	1.0	-0.07
Cellular processes#Transporters#Phosphotransferase system	2	1129	26	8186	0.891520274792622	1.0	-0.94
Groups of genes#Efp-dependent proteins	4	1129	34	8186	0.7089644056829026	1.0	-0.26
Groups of genes#Essential genes	27	1129	257	8186	0.9540522086635187	1.0	-0.46
Groups of genes#Membrane proteins	149	1129	1076	8186	0.49285378853797923	1.0	0.01
Groups of genes#Phosphoproteins#Phosphorylation on a Cys residue	1	1129	15	8186	0.8922708290695436	1.0	-1.16
Groups of genes#Phosphoproteins#Phosphorylation on a His residue	3	1129	56	8186	0.988066563358197	1.0	-1.51
Groups of genes#Phosphoproteins#Phosphorylation on an Asp residue	4	1129	35	8186	0.730747670471461	1.0	-0.31
Groups of genes#Poorly characterized/ putative enzymes	23	1129	204	8186	0.8787284997774037	1.0	-0.34
Groups of genes#Proteins of unknown function	83	1129	708	8186	0.9601043252400058	1.0	-0.29
Groups of genes#Short peptides	1	1129	9	8186	0.7371974282602232	1.0	-0.36
Information processing#Genetics#DNA condensation/ segregation	3	1129	17	8186	0.42237869619665785	1.0	0.42
Information processing#Genetics#DNA repair/ recombination	1	1129	71	8186	0.9999747238314045	1.0	-3.50
Information processing#Genetics#DNA replication	3	1129	28	8186	0.7628589048095443	1.0	-0.42
Information processing#Genetics#Genetic competence	3	1129	57	8186	0.9893891523732119	1.0	-1.53
Information processing#Genetics#Genetics/ other/ based on similarity	1	1129	9	8186	0.7371974282602232	1.0	-0.36
Information processing#Protein synthesis, modification and degradation#Protein modification	7	1129	99	8186	0.9880938751903747	1.0	-1.08
Information processing#Protein synthesis, modification and degradation#Protein secretion	7	1129	48	8186	0.4996947592184853	1.0	0.09
Information processing#Protein synthesis, modification and degradation#Proteolysis	1	1129	46	8186	0.998937313069878	1.0	-2.86
Information processing#Protein synthesis, modification and degradation#Translation	21	1129	207	8186	0.9545499050126275	1.0	-0.51
Information processing#RNA synthesis and degradation#RNases	1	1129	23	8186	0.9672311617580551	1.0	-1.82
Information processing#RNA synthesis and degradation#Transcription	3	1129	34	8186	0.8666705998558357	1.0	-0.73
Information processing#Regulation of gene expression#Quorum sensing	1	1129	22	8186	0.9619723105330895	1.0	-1.75
Information processing#Regulation of gene expression#RNA binding regulators	2	1129	11	8186	0.4606914012454995	1.0	0.47
Information processing#Regulation of gene expression#Regulators of core metabolism	1	1129	8	8186	0.6951057693659994	1.0	-0.16
Information processing#Regulation of gene expression#Sigma factors and their control	4	1129	67	8186	0.9875508933951889	1.0	-1.34
Information processing#Regulation of gene expression#Transcription factors and their control	28	1129	355	8186	0.9998455440272201	1.0	-0.93
Information processing#Regulation of gene expression#Trigger enzyme	2	1129	15	8186	0.633234408545252	1.0	-0.06
Information processing#Regulation of gene expression#phosphorelay	7	1129	44	8186	0.405205858207206	1.0	0.24
Lifestyles#Coping with stress#Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	15	1129	131	8186	0.8177366962046853	1.0	-0.31
Lifestyles#Coping with stress#Cold stress proteins	3	1129	16	8186	0.38291601710376877	1.0	0.53
Lifestyles#Coping with stress#General stress proteins (controlled by SigB)	5	1129	159	8186	0.9999990523016729	1.0	-2.33
Lifestyles#Coping with stress#Resistance against oxidative and electrophile stress	11	1129	100	8186	0.831256784120149	1.0	-0.38
Lifestyles#Coping with stress#Resistance against toxic metals	1	1129	16	8186	0.9071559390894028	1.0	-1.26
Lifestyles#Coping with stress#Resistance against toxic metals/ based on similarity	1	1129	6	8186	0.5896420168177464	1.0	0.32
Lifestyles#Coping with stress#Resistance against toxins/ antibiotics	5	1129	58	8186	0.9172690843039302	1.0	-0.77
Lifestyles#Coping with stress#Toxins, antitoxins and immunity against toxins	3	1129	33	8186	0.8527553474165879	1.0	-0.68
Lifestyles#Exponential and early post-exponential lifestyles#Genetic competence	3	1129	57	8186	0.9893891523732119	1.0	-1.53
Lifestyles#Sporulation#Sporulation proteins	5	1129	541	8186	1.0	1.0	-4.21
Lifestyles#Sporulation#Sporulation/ other	2	1129	19	8186	0.7594823793721178	1.0	-0.44
Lifestyles#Sporulation#phosphorelay	7	1129	44	8186	0.405205858207206	1.0	0.24
Metabolism#Additional metabolic pathways#Biosynthesis of cell wall components	9	1129	74	8186	0.7087481612101754	1.0	-0.21
Metabolism#Amino acid/ nitrogen metabolism#Utilization of amino acids	3	1129	75	8186	0.9988119359024963	1.0	-1.95
Metabolism#Carbon metabolism#Utilization of specific carbon sources	20	1129	240	8186	0.9969160113654608	1.0	-0.84
Metabolism#Electron transport and ATP synthesis#ATP synthesis	2	1129	13	8186	0.552817344382324	1.0	0.18
Metabolism#Electron transport and ATP synthesis#Electron transport/ other	2	1129	18	8186	0.7319934809071891	1.0	-0.36
Metabolism#Electron transport and ATP synthesis#Electron transport/ other/ based on similarity	3	1129	18	8186	0.46093834062943223	1.0	0.32
Metabolism#Lipid metabolism#Biosynthesis of lipids	2	1129	47	8186	0.9921572660745279	1.0	-1.85
Metabolism#Lipid metabolism#Lipid metabolism/ other	1	1129	12	8186	0.8317249320076495	1.0	-0.82
Metabolism#Lipid metabolism#Utilization of lipids	2	1129	32	8186	0.947320770355654	1.0	-1.27
Metabolism#Nucleotide metabolism#Utilization of nucleotides	1	1129	21	8186	0.9558703688981818	1.0	-1.68
Prophages and mobile genetic elements#Prophages#Prophage 1	1	1129	18	8186	0.9310442988781693	1.0	-1.45
Prophages and mobile genetic elements#Prophages#Skin element	6	1129	60	8186	0.853223146824788	1.0	-0.53
no_annotation	19	1129	151	8186	0.703426539159093	1.0	-0.16

1D	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Exponential and early post-exponential lifestyles#Motility and chemotaxis	50	1101	76	8186	4.641934574402057e-26	4.813686153654933e-24	3.69
Lifestyles#Exponential and early post-exponential lifestyles#Biofilm formation	32	1101	70	8186	4.4146347042893375e-11	2.0808982674309285e-09	2.47
Metabolism#Additional metabolic pathways#Sulfur metabolism	19	1101	30	8186	3.0376290016837844e-10	1.3125088644775351e-08	3.50
Cellular processes#Homeostasis#Acquisition of iron	23	1101	44	8186	8.813265773493291e-10	3.515137156581747e-08	2.84
Metabolism#Additional metabolic pathways#Iron metabolism	22	1101	53	8186	4.012614582766687e-07	1.2609337340391072e-05	2.21
Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides	22	1101	65	8186	2.1114441063861783e-05	0.0004561599038171806	1.74
Metabolism#Nucleotide metabolism#Utilization of nucleotides	11	1101	21	8186	2.4031345557876402e-05	0.0005085817417044455	2.84
Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids	38	1101	158	8186	0.00019691151392526026	0.003141495999084537	1.05
no_annotation	36	1101	151	8186	0.00034427195890078196	0.005250147373236925	1.03
Groups of genes#Secreted proteins	29	1101	116	8186	0.000554094553542166	0.0080929021411722	1.12
Cellular processes#Transporters#ABC transporters	42	1101	196	8186	0.001237106674447245	0.01603599526752241	0.84
Metabolism#Detoxification reactions	6	1101	12	8186	0.0026153169464577077	0.029479170363876553	2.69
Prophages and mobile genetic elements#Prophages#SP-beta prophage	38	1101	181	8186	0.003015296011367865	0.033264488976473154	0.80
Information processing#RNA synthesis and degradation#RNA chaperones	4	1101	6	8186	0.003895909219696488	0.0420839360502631	3.69
Lifestyles#Coping with stress#Toxins, antitoxins and immunity against toxins/ based on similarity	7	1101	18	8186	0.006437781904577184	0.061814628102282776	2.04
Lifestyles#Coping with stress#Toxins, antitoxins and immunity against toxins	10	1101	33	8186	0.00922191645704379	0.08173613133294368	1.49
Lifestyles#Exponential and early post-exponential lifestyles#Swarming	6	1101	16	8186	0.014073921756531937	0.11491855796475291	1.95
Information processing#Protein synthesis, modification and degradation#Chaperones/ protein folding	5	1101	12	8186	0.015246541555069354	0.12256328366361953	2.21
Groups of genes#Membrane proteins	167	1101	1076	8186	0.019635544333535315	0.14455669074945368	0.28
Groups of genes#Short peptides	4	1101	9	8186	0.02341161858386616	0.16743343773427039	2.37
Groups of genes#Phosphoproteins#Phosphorylation on either a Ser, Thr or Tyr residue	10	1101	40	8186	0.035356816749736016	0.23353515267182326	1.11
Cellular processes#Homeostasis#Trace metal homeostasis (Cu, Zn, Ni, Mn, Mo)	7	1101	25	8186	0.04194315395129065	0.26521372346029515	1.33
Groups of genes#Phosphoproteins#Phosphorylation on a Tyr residue	6	1101	20	8186	0.04258042984749175	0.26761155001120573	1.47
Groups of genes#Proteins of unknown function	110	1101	708	8186	0.0518718520088122	0.31456789785460965	0.27
Metabolism#Electron transport and ATP synthesis#Respiration	9	1101	37	8186	0.05231104374341104	0.31538693233672815	1.05
Lifestyles#Coping with stress#Cold stress proteins	5	1101	16	8186	0.05323523323613603	0.3191036813056246	1.55
Lifestyles#Coping with stress#Biosynthesis of antibacterial compounds	11	1101	51	8186	0.07312216810756	0.41663565015131715	0.83
Information processing#Regulation of gene expression#Transition state regulators	3	1101	8	8186	0.08065826696359998	0.44728675316178174	1.95
Lifestyles#Coping with stress#Resistance against other toxic compounds (nitric oxide, phenolic acids, flavonoids, oxalate)	5	1101	18	8186	0.08336016325941073	0.4549709963158365	1.31
Prophages and mobile genetic elements#Mobile genetic elements#ICEBs1	6	1101	25	8186	0.10925947277944165	0.5607608147200641	1.03
Groups of genes#NcRNA#Small RNAs with unknown functions	1	1101	1	8186	0.13449792328249274	0.6288112987356316	nan
Information processing#Targets of second messengers#Targets of ZTP	1	1101	1	8186	0.13449792328249274	0.6288112987356316	nan
Lifestyles#Coping with stress#Coping with hypo-osmotic stress	2	1101	5	8186	0.13691965274264187	0.6288112987356316	2.10
Metabolism#Electron transport and ATP synthesis#Regulators of electron transport	2	1101	5	8186	0.13691965274264187	0.6288112987356316	2.10
Cellular processes#Transporters#Transporters/ other	28	1101	174	8186	0.1775007819110982	0.6945973994030521	0.31
Information processing#Protein synthesis, modification and degradation#Protein secretion	9	1101	48	8186	0.18891826510353663	0.7054206612795888	0.57
Metabolism#Electron transport and ATP synthesis#Electron transport/ other/ based on similarity	4	1101	18	8186	0.2159497477824264	0.7464662948345873	0.88
Information processing#Regulation of gene expression#phosphorelay	8	1101	44	8186	0.23311166435439826	0.7815622231956985	0.52
Lifestyles#Sporulation#phosphorelay	8	1101	44	8186	0.23311166435439826	0.7815622231956985	0.52
Information processing#Genetics#Newly identified competence genes	5	1101	25	8186	0.23945758651322607	0.7883095784578267	0.69
Information processing#Genetics#DNA restriction/ modification	2	1101	7	8186	0.2404045444157268	0.7889225080984452	1.37
Groups of genes#Phosphoproteins#Phosphorylation on an Arg residue	18	1101	113	8186	0.25511469347852317	0.8140121142683955	0.29
Metabolism#Carbon metabolism#Carbon core metabolism	9	1101	53	8186	0.2784414874170994	0.8645024624297367	0.40
Information processing#Regulation of gene expression#Regulators of core metabolism	2	1101	8	8186	0.2936533035665992	0.8997463269659254	1.10
Information processing#Regulation of gene expression#Quorum sensing	4	1101	22	8186	0.34243212991399224	0.9808185789541924	0.52
Metabolism#Amino acid/ nitrogen metabolism#Putative amino acid transporter	1	1101	3	8186	0.35169465208523	0.9964681809081516	1.69
Cellular processes#Cell envelope and cell division#Capsule biosynthesis and degradation	2	1101	10	8186	0.39762833266562747	1.0	0.69
Cellular processes#Cell envelope and cell division#Cell division	1	1101	37	8186	0.9952857588661722	1.0	-2.49
Cellular processes#Cell envelope and cell division#Cell shape	1	1101	11	8186	0.7960632961435643	1.0	-0.64
Cellular processes#Cell envelope and cell division#Cell wall degradation/ turnover	6	1101	39	8186	0.4299827926874703	1.0	0.23
Cellular processes#Cell envelope and cell division#Cell wall synthesis	7	1101	97	8186	0.9820388993649272	1.0	-1.01
Cellular processes#Cell envelope and cell division#Cell wall/ other	2	1101	21	8186	0.7950776385103453	1.0	-0.56
Cellular processes#Cell envelope and cell division#Membrane dynamics	1	1101	6	8186	0.5797720257895015	1.0	0.36
Cellular processes#Transporters#ECF transporter	2	1101	12	8186	0.49393761782624185	1.0	0.36
Groups of genes#Efp-dependent proteins	3	1101	34	8186	0.8545137669533575	1.0	-0.69
Groups of genes#Essential genes	18	1101	257	8186	0.9996925141249984	1.0	-1.07
Groups of genes#GTP-binding proteins	1	1101	11	8186	0.7960632961435643	1.0	-0.64
Groups of genes#Phosphoproteins#Phosphorylation on a His residue	1	1101	56	8186	0.9997019728700347	1.0	-3.11
Groups of genes#Phosphoproteins#Phosphorylation on a Ser residue	5	1101	67	8186	0.9572764350905455	1.0	-0.95
Groups of genes#Phosphoproteins#Phosphorylation on a Thr residue	2	1101	26	8186	0.8825160084791651	1.0	-0.90
Groups of genes#Phosphoproteins#Phosphorylation on an Asp residue	3	1101	35	8186	0.8679311346414842	1.0	-0.73
Groups of genes#Poorly characterized/ putative enzymes	16	1101	204	8186	0.9958527040674001	1.0	-0.89
Groups of genes#Universally conserved proteins	1	1101	28	8186	0.9826066487450231	1.0	-2.07
Information processing#Genetics#DNA condensation/ segregation	1	1101	17	8186	0.9144076253790043	1.0	-1.32
Information processing#Genetics#DNA replication	1	1101	28	8186	0.9826066487450231	1.0	-2.07
Information processing#Genetics#Genetic competence	6	1101	57	8186	0.7969317082473355	1.0	-0.40
Information processing#Protein synthesis, modification and degradation#Protein modification	10	1101	99	8186	0.8737170188933314	1.0	-0.47
Information processing#Protein synthesis, modification and degradation#Proteolysis	2	1101	46	8186	0.9895464495269151	1.0	-1.78
Information processing#Protein synthesis, modification and degradation#Translation	14	1101	207	8186	0.9993339141229463	1.0	-1.12
Information processing#RNA synthesis and degradation#RNases	1	1101	23	8186	0.964101470243053	1.0	-1.78
Information processing#RNA synthesis and degradation#Transcription	3	1101	34	8186	0.8545137669533575	1.0	-0.69
Information processing#Regulation of gene expression#RNA binding regulators	1	1101	11	8186	0.7960632961435643	1.0	-0.64
Information processing#Regulation of gene expression#Sigma factors and their control	2	1101	67	8186	0.9993086642507674	1.0	-2.35
Information processing#Regulation of gene expression#Transcription factors and their control	41	1101	355	8186	0.8768438128286524	1.0	-0.26
Information processing#Regulation of gene expression#Trigger enzyme	1	1101	15	8186	0.8856713838096095	1.0	-1.12
Lifestyles#Coping with stress#Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	5	1101	131	8186	0.9999537525655474	1.0	-1.99
Lifestyles#Coping with stress#General stress proteins (controlled by SigB)	1	1101	159	8186	0.9999999999099729	1.0	-4.65
Lifestyles#Coping with stress#Resistance against oxidative and electrophile stress	4	1101	100	8186	0.9996263650081438	1.0	-1.91
Lifestyles#Coping with stress#Resistance against toxic metals	1	1101	16	8186	0.9010765736758412	1.0	-1.22
Lifestyles#Coping with stress#Resistance against toxic metals/ based on similarity	1	1101	6	8186	0.5797720257895015	1.0	0.36
Lifestyles#Coping with stress#Resistance against toxins/ antibiotics	7	1101	58	8186	0.6793067443033975	1.0	-0.18
Lifestyles#Coping with stress#Resistance against toxins/ antibiotics/ based on similarity	6	1101	42	8186	0.5045699551408358	1.0	0.10
Lifestyles#Exponential and early post-exponential lifestyles#Genetic competence	6	1101	57	8186	0.7969317082473355	1.0	-0.40
Lifestyles#Sporulation#Sporulation proteins	7	1101	541	8186	1.0	1.0	-3.67
Metabolism#Additional metabolic pathways#Biosynthesis of cell wall components	4	1101	74	8186	0.9928713453180589	1.0	-1.45
Metabolism#Additional metabolic pathways#Biosynthesis of cofactors	13	1101	116	8186	0.7999464599285901	1.0	-0.30
Metabolism#Additional metabolic pathways#Miscellaneous metabolic pathways	11	1101	77	8186	0.46469649649657774	1.0	0.10
Metabolism#Amino acid/ nitrogen metabolism#Utilization of amino acids	5	1101	75	8186	0.9798605948355081	1.0	-1.13
Metabolism#Amino acid/ nitrogen metabolism#Utilization of nitrogen sources other than amino acids	4	1101	54	8186	0.9444239058182965	1.0	-0.96
Metabolism#Carbon metabolism#Utilization of specific carbon sources	5	1101	240	8186	0.999999999952122	1.0	-2.91
Metabolism#Electron transport and ATP synthesis#ATP synthesis	1	1101	13	8186	0.8472990585760484	1.0	-0.90
Metabolism#Electron transport and ATP synthesis#Electron transport/ other	2	1101	18	8186	0.7182964152259503	1.0	-0.31
Metabolism#Lipid metabolism#Biosynthesis of lipids	1	1101	47	8186	0.9988968041698594	1.0	-2.85
Metabolism#Lipid metabolism#Lipid metabolism/ other	1	1101	12	8186	0.8235292669067836	1.0	-0.77
Metabolism#Lipid metabolism#Utilization of lipids	2	1101	32	8186	0.9416232067759078	1.0	-1.22
Prophages and mobile genetic elements#Prophages#PBSX prophage	1	1101	41	8186	0.997362404840319	1.0	-2.64
Prophages and mobile genetic elements#Prophages#Prophage 1	1	1101	18	8186	0.9259435789239613	1.0	-1.40
Prophages and mobile genetic elements#Prophages#Prophage 3	2	1101	10	8186	0.39762833266562747	1.0	0.69
Prophages and mobile genetic elements#Prophages#Skin element	8	1101	60	8186	0.5680619597719395	1.0	-0.01

2D	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Sporulation#Sporulation proteins	258	1199	541	8186	8.892994578823798e-82	2.3055088445600697e-79	2.70
Cellular processes#Homeostasis#Acquisition of iron	23	1199	44	8186	4.840285848565098e-09	1.7308194568834506e-07	2.70
Metabolism#Additional metabolic pathways#Iron metabolism	22	1199	53	8186	1.7755147223059617e-06	4.721048120593031e-05	2.07
Lifestyles#Sporulation#Germination	17	1199	40	8186	1.8335895857275986e-05	0.0004225405334221155	2.12
Metabolism#Additional metabolic pathways#Miscellaneous metabolic pathways	26	1199	77	8186	1.9376169937276818e-05	0.00043427835221782936	1.59
no_annotation	40	1199	151	8186	9.250606141257972e-05	0.0017079373584217824	1.10
Lifestyles#Coping with stress#Toxins, antitoxins and immunity against toxins	14	1199	33	8186	0.00010307048999044352	0.0018115948833913548	2.12
Prophages and mobile genetic elements#Prophages#Prophage 1	8	1199	18	8186	0.002299971311543071	0.026594684135497475	2.23
Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides	18	1199	65	8186	0.004566806654178024	0.047357785003826106	1.17
Lifestyles#Coping with stress#Biosynthesis of antibacterial compounds	15	1199	51	8186	0.005036501180225139	0.05156809887234307	1.29
Information processing#RNA synthesis and degradation#RNA chaperones	4	1199	6	8186	0.005365521268555977	0.054019859762063575	3.55
Cellular processes#Cell envelope and cell division#Cell wall/ other	7	1199	21	8186	0.02535081424918749	0.1791630513146743	1.55
Information processing#Regulation of gene expression#Sigma factors and their control	15	1199	67	8186	0.05769746306354352	0.34027273427607274	0.76
Cellular processes#Homeostasis#Trace metal homeostasis (Cu, Zn, Ni, Mn, Mo)	7	1199	25	8186	0.06221779109102631	0.3604460858178452	1.18
Cellular processes#Transporters#ABC transporters	36	1199	196	8186	0.08525937419061615	0.4604894324774424	0.40
Lifestyles#Coping with stress#Resistance against other toxic compounds (nitric oxide, phenolic acids, flavonoids, oxalate)	5	1199	18	8186	0.11125875375430021	0.5628064763083381	1.17
Groups of genes#Efp-dependent proteins	8	1199	34	8186	0.11378460345567319	0.5700223854276961	0.85
Information processing#Protein synthesis, modification and degradation#Proteolysis	10	1199	46	8186	0.12609036417328806	0.61622987077663	0.70
Groups of genes#Short peptides	3	1199	9	8186	0.13328250235792755	0.6288112987356316	1.55
Metabolism#Additional metabolic pathways#Sulfur metabolism	7	1199	30	8186	0.1388599685732494	0.6288112987356316	0.83
Groups of genes#NcRNA#Regulatory RNAs	1	1199	1	8186	0.14646958221184198	0.6381888939230257	nan
Groups of genes#NcRNA#Small RNAs with unknown functions	1	1199	1	8186	0.14646958221184198	0.6381888939230257	nan
Information processing#Regulation of gene expression#Other regulators	1	1199	1	8186	0.14646958221184198	0.6381888939230257	nan
Information processing#Targets of second messengers#Targets of ZTP	1	1199	1	8186	0.14646958221184198	0.6381888939230257	nan
Metabolism#Electron transport and ATP synthesis#Regulators of electron transport	2	1199	5	8186	0.15827608901073664	0.6770386923552916	1.96
Metabolism#Electron transport and ATP synthesis#Respiration	8	1199	37	8186	0.16439302150652987	0.6794708822156731	0.69
Groups of genes#Secreted proteins	20	1199	116	8186	0.2480517433280402	0.8013384979164414	0.28
Information processing#Protein synthesis, modification and degradation#Chaperones/ protein folding	3	1199	12	8186	0.2520192413213376	0.8081195548526836	0.96
Metabolism#Amino acid/ nitrogen metabolism#Utilization of nitrogen sources other than amino acids	10	1199	54	8186	0.2604005680858996	0.8232786253203594	0.41
Information processing#Protein synthesis, modification and degradation#Protein secretion	9	1199	48	8186	0.26370961745788607	0.8286874948600844	0.43
Information processing#Regulation of gene expression#Regulators of core metabolism	2	1199	8	8186	0.331630783313482	0.9633084658153525	0.96
Cellular processes#Cell envelope and cell division#Capsule biosynthesis and degradation	1	1199	10	8186	0.7949876628290923	1.0	-0.63
Cellular processes#Cell envelope and cell division#Cell division	3	1199	37	8186	0.923571913849252	1.0	-0.96
Cellular processes#Cell envelope and cell division#Cell wall degradation/ turnover	5	1199	39	8186	0.6951403407134775	1.0	-0.22
Cellular processes#Cell envelope and cell division#Cell wall synthesis	7	1199	97	8186	0.9920330384848014	1.0	-1.15
Cellular processes#Cell envelope and cell division#Cell wall/ other/ based on similarity	1	1199	6	8186	0.6134751783458664	1.0	0.22
Cellular processes#Cell envelope and cell division#Membrane dynamics	1	1199	6	8186	0.6134751783458664	1.0	0.22
Cellular processes#Homeostasis#Metal ion homeostasis (K, Na, Ca, Mg)	1	1199	34	8186	0.9954676496805093	1.0	-2.51
Cellular processes#Transporters#ECF transporter	2	1199	12	8186	0.5428037655157006	1.0	0.22
Cellular processes#Transporters#Phosphotransferase system	2	1199	26	8186	0.9114212294938846	1.0	-1.04
Cellular processes#Transporters#Transporters/ other	15	1199	174	8186	0.9942543401070445	1.0	-0.88
Groups of genes#Essential genes	7	1199	257	8186	1.0	1.0	-2.66
Groups of genes#Membrane proteins	157	1199	1076	8186	0.5374084450725991	1.0	-0.01
Groups of genes#Phosphoproteins#Phosphorylation on a Cys residue	1	1199	15	8186	0.9072470187836321	1.0	-1.27
Groups of genes#Phosphoproteins#Phosphorylation on a His residue	1	1199	56	8186	0.999863800829091	1.0	-3.25
Groups of genes#Phosphoproteins#Phosphorylation on a Ser residue	8	1199	67	8186	0.784697600110823	1.0	-0.34
Groups of genes#Phosphoproteins#Phosphorylation on a Thr residue	1	1199	26	8186	0.9838293108845948	1.0	-2.10
Groups of genes#Phosphoproteins#Phosphorylation on a Tyr residue	1	1199	20	8186	0.9580581796906219	1.0	-1.71
Groups of genes#Phosphoproteins#Phosphorylation on an Arg residue	14	1199	113	8186	0.790252533569709	1.0	-0.28
Groups of genes#Phosphoproteins#Phosphorylation on either a Ser, Thr or Tyr residue	6	1199	40	8186	0.5429390141060527	1.0	0.04
Groups of genes#Poorly characterized/ putative enzymes	25	1199	204	8186	0.8607358360138706	1.0	-0.30
Groups of genes#Proteins of unknown function	85	1199	708	8186	0.9852950208862271	1.0	-0.36
Groups of genes#Pseudogenes	1	1199	13	8186	0.8726097687348421	1.0	-1.04
Information processing#Genetics#DNA condensation/ segregation	1	1199	17	8186	0.9324721268483526	1.0	-1.46
Information processing#Genetics#DNA repair/ recombination	4	1199	71	8186	0.9952255716449936	1.0	-1.53
Information processing#Genetics#Genetic competence	6	1199	57	8186	0.8602412047620702	1.0	-0.55
Information processing#Genetics#Genetics/ other/ based on similarity	1	1199	9	8186	0.7597612666973272	1.0	-0.46
Information processing#Genetics#Newly identified competence genes	3	1199	25	8186	0.7309889280129165	1.0	-0.33
Information processing#Protein synthesis, modification and degradation#Protein modification	7	1199	99	8186	0.9935003835735755	1.0	-1.18
Information processing#Protein synthesis, modification and degradation#Translation	5	1199	207	8186	0.9999999997256576	1.0	-2.83
Information processing#RNA synthesis and degradation#Transcription	4	1199	34	8186	0.754773645852742	1.0	-0.37
Information processing#Regulation of gene expression#Quorum sensing	4	1199	22	8186	0.40610871207646704	1.0	0.37
Information processing#Regulation of gene expression#RNA binding regulators	1	1199	11	8186	0.8250524612957149	1.0	-0.78
Information processing#Regulation of gene expression#Transcription factors and their control	40	1199	355	8186	0.9755002747455003	1.0	-0.45
Information processing#Regulation of gene expression#Transition state regulators	1	1199	8	8186	0.7184879838037408	1.0	-0.26
Information processing#Regulation of gene expression#Trigger enzyme	1	1199	15	8186	0.9072470187836321	1.0	-1.27
Information processing#Regulation of gene expression#phosphorelay	4	1199	44	8186	0.9033606003736585	1.0	-0.78
Lifestyles#Coping with stress#Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	3	1199	131	8186	0.9999997684974657	1.0	-2.90
